id,choice,feat,price,chid,alt
1,0,0,8.1,1,dannon
1,0,0,6.1,1,hiland
1,1,0,7.9,1,weight
1,0,0,10.8,1,yoplait
1,1,0,9.8,2,dannon
1,0,0,6.4,2,hiland
1,0,0,7.5,2,weight
1,0,0,10.8,2,yoplait
1,1,0,9.8,3,dannon
1,0,0,6.1,3,hiland
1,0,0,8.6,3,weight
1,0,0,10.8,3,yoplait
1,1,0,9.8,4,dannon
1,0,0,6.1,4,hiland
1,0,0,8.6,4,weight
1,0,0,10.8,4,yoplait
1,1,0,9.8,5,dannon
1,0,0,4.9,5,hiland
1,0,0,7.9,5,weight
1,0,0,12.5,5,yoplait
1,1,0,9.2,6,dannon
1,0,0,5.0,6,hiland
1,0,0,7.9,6,weight
1,0,0,10.8,6,yoplait
1,1,0,8.1,7,dannon
1,0,0,4.9,7,hiland
1,0,0,7.9,7,weight
1,0,0,10.3,7,yoplait
1,0,0,8.6,8,dannon
1,0,0,5.4,8,hiland
1,1,0,7.9,8,weight
1,0,0,10.8,8,yoplait
2,0,0,9.8,9,dannon
2,0,0,5.0,9,hiland
2,0,0,7.9,9,weight
2,1,0,10.8,9,yoplait
2,0,0,9.8,10,dannon
2,0,0,5.0,10,hiland
2,0,0,7.9,10,weight
2,1,0,10.8,10,yoplait
2,0,0,9.8,11,dannon
2,0,0,5.0,11,hiland
2,0,0,7.9,11,weight
2,1,0,10.8,11,yoplait
2,0,0,9.8,12,dannon
2,0,0,5.0,12,hiland
2,0,0,7.9,12,weight
2,1,0,10.8,12,yoplait
2,0,0,8.1,13,dannon
2,0,0,5.0,13,hiland
2,1,0,8.6,13,weight
2,0,0,10.8,13,yoplait
2,0,0,8.1,14,dannon
2,0,0,5.0,14,hiland
2,1,0,8.6,14,weight
2,0,0,10.8,14,yoplait
2,0,0,8.1,15,dannon
2,0,0,5.0,15,hiland
2,1,0,7.9,15,weight
2,0,0,10.8,15,yoplait
2,0,0,8.1,16,dannon
2,0,0,5.0,16,hiland
2,1,0,7.9,16,weight
2,0,0,10.8,16,yoplait
2,0,0,8.1,17,dannon
2,0,0,5.0,17,hiland
2,1,0,7.9,17,weight
2,0,0,10.8,17,yoplait
2,0,0,8.1,18,dannon
2,0,0,5.0,18,hiland
2,1,0,7.9,18,weight
2,0,0,10.8,18,yoplait
2,0,0,8.1,19,dannon
2,0,0,5.0,19,hiland
2,1,0,7.9,19,weight
2,0,0,10.8,19,yoplait
2,0,0,8.1,20,dannon
2,0,0,5.0,20,hiland
2,1,0,8.1,20,weight
2,0,0,10.8,20,yoplait
2,0,0,8.1,21,dannon
2,0,0,5.0,21,hiland
2,1,0,7.9,21,weight
2,0,0,10.8,21,yoplait
2,0,0,8.1,22,dannon
2,0,0,5.0,22,hiland
2,1,0,7.9,22,weight
2,0,0,10.8,22,yoplait
2,0,0,8.1,23,dannon
2,0,0,5.0,23,hiland
2,1,0,7.9,23,weight
2,0,0,10.8,23,yoplait
2,0,0,8.1,24,dannon
2,0,0,5.0,24,hiland
2,1,0,8.1,24,weight
2,0,0,10.8,24,yoplait
2,0,0,8.1,25,dannon
2,0,0,5.0,25,hiland
2,1,0,7.9,25,weight
2,0,0,11.2,25,yoplait
2,0,0,8.1,26,dannon
2,0,0,5.0,26,hiland
2,1,0,7.9,26,weight
2,0,0,11.2,26,yoplait
2,0,0,8.1,27,dannon
2,0,0,5.0,27,hiland
2,1,0,7.9,27,weight
2,0,0,11.2,27,yoplait
2,0,0,8.1,28,dannon
2,0,0,5.0,28,hiland
2,1,0,8.1,28,weight
2,0,0,10.8,28,yoplait
3,1,0,4.9,29,dannon
3,0,0,6.1,29,hiland
3,0,0,7.9,29,weight
3,0,0,11.0,29,yoplait
3,1,0,4.4,30,dannon
3,0,0,4.9,30,hiland
3,0,0,7.9,30,weight
3,0,0,10.3,30,yoplait
3,1,0,4.4,31,dannon
3,0,0,4.9,31,hiland
3,0,0,7.9,31,weight
3,0,0,10.3,31,yoplait
3,0,0,9.5,32,dannon
3,0,0,5.8,32,hiland
3,0,0,10.3,32,weight
3,1,0,3.2,32,yoplait
3,0,0,9.5,33,dannon
3,0,0,5.8,33,hiland
3,0,0,10.3,33,weight
3,1,0,10.8,33,yoplait
3,0,0,9.5,34,dannon
3,0,0,5.8,34,hiland
3,0,0,10.3,34,weight
3,1,0,10.8,34,yoplait
3,0,0,8.6,35,dannon
3,0,0,5.4,35,hiland
3,0,0,7.9,35,weight
3,1,0,5.5,35,yoplait
3,0,0,8.6,36,dannon
3,0,0,5.4,36,hiland
3,0,0,7.9,36,weight
3,1,0,8.3,36,yoplait
3,0,0,8.6,37,dannon
3,0,0,5.4,37,hiland
3,0,0,7.9,37,weight
3,1,0,8.3,37,yoplait
3,0,0,8.6,38,dannon
3,0,0,5.6,38,hiland
3,0,1,6.3,38,weight
3,1,0,11.5,38,yoplait
3,0,0,8.6,39,dannon
3,0,0,5.6,39,hiland
3,0,1,6.3,39,weight
3,1,0,3.2,39,yoplait
3,0,0,8.6,40,dannon
3,0,0,6.1,40,hiland
3,1,1,6.3,40,weight
3,0,0,11.5,40,yoplait
3,1,0,5.5,41,dannon
3,0,0,6.1,41,hiland
3,0,0,6.4,41,weight
3,0,0,11.5,41,yoplait
3,1,0,6.3,42,dannon
3,0,1,6.1,42,hiland
3,0,0,7.9,42,weight
3,0,0,11.5,42,yoplait
3,1,0,3.1,43,dannon
3,0,0,6.1,43,hiland
3,0,1,6.3,43,weight
3,0,0,4.2,43,yoplait
4,0,0,8.1,44,dannon
4,1,0,6.6,44,hiland
4,0,0,7.9,44,weight
4,0,0,11.0,44,yoplait
4,0,0,8.1,45,dannon
4,1,0,6.6,45,hiland
4,0,0,7.9,45,weight
4,0,0,11.0,45,yoplait
4,1,0,8.1,46,dannon
4,0,0,6.6,46,hiland
4,0,0,7.9,46,weight
4,0,0,13.5,46,yoplait
4,1,0,8.1,47,dannon
4,0,0,6.6,47,hiland
4,0,0,7.9,47,weight
4,0,0,13.5,47,yoplait
4,0,0,8.1,48,dannon
4,1,0,6.1,48,hiland
4,0,0,7.9,48,weight
4,0,0,11.0,48,yoplait
4,0,0,8.1,49,dannon
4,1,0,6.1,49,hiland
4,0,0,7.9,49,weight
4,0,0,11.0,49,yoplait
4,0,0,8.1,50,dannon
4,1,0,4.9,50,hiland
4,0,0,7.9,50,weight
4,0,0,10.3,50,yoplait
4,1,0,8.6,51,dannon
4,0,0,5.0,51,hiland
4,0,0,7.9,51,weight
